Círculo	Nome	Escola (Descritor)	Descrição Visual	Efeito	Aprimoramento (Exemplos)	Prompt base
5º	Buraco Negro	Evocação (Vácuo)	Uma singularidade de escuridão absoluta surge no ar, sugando luz, matéria e som para um centro devastador.	Causa 20d10 de dano de impacto e vácuo; suga todas as criaturas em alcance longo para o centro.	+5 PM: Aumenta o dano em +5d10.+10 PM: Criaturas que falham na resistência morrem instantaneamente.	Cria a imagem de Tormenta 20 para a Magia 'Buraco Negro' que é do tipo 'Evocação (Vácuo)', do 5º círculo, com o efeito 'Uma singularidade de escuridão absoluta surge no ar, sugando luz, matéria e som para um centro devastador.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
5º	Chuva de Meteoros	Evocação (Fogo/Impacto)	Esferas colossais de rocha incandescente caem do céu, deixando rastros de fumaça e explodindo em colunas de fogo.	Causa 20d6 de fogo e 20d6 de impacto em quatro áreas de 12 metros de raio.	+5 PM: Aumenta o dano de fogo em +5d6 em cada área.	Cria a imagem de Tormenta 20 para a Magia 'Chuva de Meteoros' que é do tipo 'Evocação (Fogo/Impacto)', do 5º círculo, com o efeito 'Esferas colossais de rocha incandescente caem do céu, deixando rastros de fumaça e explodindo em colunas de fogo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
5º	Desejo	Invocação (Universal)	A realidade treme e se curva à voz do conjurador; o impossível torna-se real em um flash de energia prismática.	Altera a realidade. Pode duplicar qualquer magia de círculo inferior ou criar efeitos únicos narrativos.	Especial: O custo e aprimoramentos dependem da magnitude do pedido feito ao mestre.	Cria a imagem de Tormenta 20 para a Magia 'Desejo' que é do tipo 'Invocação (Universal)', do 5º círculo, com o efeito 'A realidade treme e se curva à voz do conjurador; o impossível torna-se real em um flash de energia prismática.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
5º	Mata-Dragão	Evocação (Essência)	Um feixe concentrado de pura energia arcana, de brilho ofuscante, dispara contra um único alvo com força letal.	Causa 20d12 de dano de essência em um único alvo; ignora qualquer tipo de Redução de Dano.	+5 PM: Se o alvo for reduzido a 0 PV, ele é completamente desintegrado.	Cria a imagem de Tormenta 20 para a Magia 'Mata-Dragão' que é do tipo 'Evocação (Essência)', do 5º círculo, com o efeito 'Um feixe concentrado de pura energia arcana, de brilho ofuscante, dispara contra um único alvo com força letal.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
5º	Parar o Tempo	Transmutação	O mundo fica cinzento e estático; folhas param no ar e chamas congelam enquanto o mago se move livremente.	O tempo para para todos, exceto para o conjurador, que ganha 1d4+1 rodadas extras imediatas.	+10 PM: Você pode afetar outras criaturas voluntárias para agirem com você no tempo parado.	Cria a imagem de Tormenta 20 para a Magia 'Parar o Tempo' que é do tipo 'Transmutação', do 5º círculo, com o efeito 'O mundo fica cinzento e estático; folhas param no ar e chamas congelam enquanto o mago se move livremente.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
5º	Portal	Convocação	Um rasgo permanente é feito no tecido da realidade, criando uma passagem circular estável entre dois pontos do multiverso.	Cria um portal duradouro entre dois planos ou dois locais distantes no mesmo mundo.	+5 PM: O portal torna-se invisível para quem não possuir visão mística.	Cria a imagem de Tormenta 20 para a Magia 'Portal' que é do tipo 'Convocação', do 5º círculo, com o efeito 'Um rasgo permanente é feito no tecido da realidade, criando uma passagem circular estável entre dois pontos do multiverso.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
5º	Possessão	Encantamento (Mental)	A forma física do mago torna-se etérea enquanto sua consciência mergulha no corpo e na mente do alvo.	O conjurador assume o controle total do corpo da vítima, usando suas perícias e poderes.	+5 PM: O corpo físico do conjurador não fica vulnerável, desaparecendo durante a possessão.	Cria a imagem de Tormenta 20 para a Magia 'Possessão' que é do tipo 'Encantamento (Mental)', do 5º círculo, com o efeito 'A forma física do mago torna-se etérea enquanto sua consciência mergulha no corpo e na mente do alvo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
5º	Projeção Astral	Necromancia	O espírito do conjurador deixa o corpo, manifestando-se como uma forma prateada e etérea ligada por um cordão de luz.	Permite viajar pelo Plano Astral e visitar outros planos de existência sem levar o corpo físico.	+5 PM: Leva até dez aliados voluntários na projeção.	Cria a imagem de Tormenta 20 para a Magia 'Projeção Astral' que é do tipo 'Necromancia', do 5º círculo, com o efeito 'O espírito do conjurador deixa o corpo, manifestando-se como uma forma prateada e etérea ligada por um cordão de luz.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
5º	Ressurreição Verdadeira	Necromancia (Luz)	Uma coluna de luz divina desce do Panteão, reconstruindo o corpo e chamando a alma de volta, mesmo após séculos.	Traz uma criatura de volta à vida com PV e PM cheios, mesmo que não reste nada do corpo original.	+10 PM: O alvo ressurgirá com um bônus permanente de +2 em um atributo à escolha.	Cria a imagem de Tormenta 20 para a Magia 'Ressurreição Verdadeira' que é do tipo 'Necromancia (Luz)', do 5º círculo, com o efeito 'Uma coluna de luz divina desce do Panteão, reconstruindo o corpo e chamando a alma de volta, mesmo após séculos.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
5º	Toque da Morte	Necromancia (Trevas)	No momento do toque, a vida se apaga instantaneamente; o alvo torna-se pálido e frio antes mesmo de atingir o chão.	Se o alvo tiver menos de 100 PV, morre instantaneamente; se tiver mais, sofre 20d12 de dano necrótico.	+5 PM: Se o alvo morrer, ele se levanta na rodada seguinte como um morto-vivo sob seu comando.	Cria a imagem de Tormenta 20 para a Magia 'Toque da Morte' que é do tipo 'Necromancia (Trevas)', do 5º círculo, com o efeito 'No momento do toque, a vida se apaga instantaneamente; o alvo torna-se pálido e frio antes mesmo de atingir o chão.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
5º	Legião	Convocação	Centenas de espíritos guerreiros ou entidades infernais surgem simultaneamente, preenchendo o campo de batalha.	Invoca um exército que ocupa uma área imensa, atacando automaticamente qualquer inimigo dentro dela.	+5 PM: A legião recebe RD 20 contra todos os danos.	Cria a imagem de Tormenta 20 para a Magia 'Legião' que é do tipo 'Convocação', do 5º círculo, com o efeito 'Centenas de espíritos guerreiros ou entidades infernais surgem simultaneamente, preenchendo o campo de batalha.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
